Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0xc1b01a59c77749d29b062ab4c621bba429b31a5a6c84f3fd5b2896a4c413c1fc,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x045da4bfe02b320f4403674b3b7d121737727a36,,,,,0.00000,
0xc377b08ee206111b8acf2e4a25c7367c09b79d07e408a108513816ec0d245400,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x6a9f9d6f5d672a9784c5e560a9648de6cbe2c548,,,,,0.00000,
0xcb81f9fa1121e355723e0068d56f04f8b2cae3fb88082a66554cea1babebb63a,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x045da4bfe02b320f4403674b3b7d121737727a36,,,,,0.00000,
0x22369ccfe9d8445a9f6e72586670dfcb600f8227dc3d2aff0916540c15ac9091,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x04556d845f12ff7d8ff04a37f40387dd1b454c4b,,,,,0.00000,
0xb78ecd9cb150cefb051f186bb1f940794371587615dc39aa49c9996f539d9f7b,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x6a9f9d6f5d672a9784c5e560a9648de6cbe2c548,,,,,0.00000,
0x4eae57bb0eb808660b141c5a3fb6ebdfe5d0fbf8243b8f0287fb44edba99ff10,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x04556d845f12ff7d8ff04a37f40387dd1b454c4b,,,,,0.00000,
0x6d06a0cf21ce3c5ee5a48bd705dbf842758e09185c84f5d133e84d3dcf8f1bf8,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,,,,,0.00000,
0xea7a582ee576d883ad6215548f43e71bff433fe644f3efecf9762baac8844754,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,,,,,0.00000,
0x454bafd6731535e2b4d25ea1de5054375ada058c4953da781d71b3cef8f10a9c,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x6a9f9d6f5d672a9784c5e560a9648de6cbe2c548,,,,,0.00000,
0x831da82580d729db5f27085f05dac9f68f86f3856ce251cae8432e4376893b57,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x04556d845f12ff7d8ff04a37f40387dd1b454c4b,,,,,0.00000,
0xc286ad64cc1c77d04d4aed3e17e81a6a8679adb6103ac8af02978f28858cb58e,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,,,,,0.00000,
0x4c8fa3b2dbfd55d9b55a0a494e14d6ac26203fb81ea9b6ae147e3f7922ff7264,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x6a9f9d6f5d672a9784c5e560a9648de6cbe2c548,,,,,0.00000,
0x0f36dc6082ed6035f87d1c54f4947cf3854241666d2202bbf01c7367f7df6eaa,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x04556d845f12ff7d8ff04a37f40387dd1b454c4b,,,,,0.00000,
0x64676809e3f3be813f5af366e1f2cbed2a5e99955b51192a0c862f7cb99a5229,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,,,,,0.00000,
0x190730e7e07527990a7d94d3b47269abcd1f9657f0d1c23081aacd3f12a236fe,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x6a9f9d6f5d672a9784c5e560a9648de6cbe2c548,,,,,0.00000,
